State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield,Rainfall..mm.,Soil Ph Level,high Temp,low Temp,MeanTemperature,Air humidity,,,,,,,,,,,
Uttar Pradesh,SITAPUR,2006,Kharif     ,Sugarcane,137821,7645758,55.48,529.3,1,43,38,32,71,,,,,,,,,,,
Maharashtra,SANGLI,2013,Whole Year ,Sugarcane,62600,7466700,119.28,962.4,1,36,13,24,67,,,,,,,,,,,
Gujarat,SURAT,2010,Whole Year ,Sugarcane,98900,7411000,74.93,1088.7,1,42,12,28,54,,,,,,,,,,,
Uttar Pradesh,SAHARANPUR,2001,Whole Year ,Sugarcane,131558,7348830,55.86,661.7,1,42,8,26,61,,,,,,,,,,,
Maharashtra,KOLHAPUR,2005,Kharif     ,Sugarcane,94500,7229300,76.5,1221.3,2,36,13,24,67,,,,,,,,,,,
Maharashtra,SANGLI,2011,Whole Year ,Sugarcane,70500,7163400,101.61,852.6,1,36,13,24,67,,,,,,,,,,,
Maharashtra,SANGLI,2012,Whole Year ,Sugarcane,60700,7066100,116.41,689.8,1,36,13,24,67,,,,,,,,,,,
Gujarat,SURAT,2009,Whole Year ,Sugarcane,101400,7007000,69.1,641.6,1,42,12,28,54,,,,,,,,,,,
Maharashtra,SATARA,2010,Kharif     ,Sugarcane,74000,6963400,94.1,1027.5,1,38,12,25,63,,,,,,,,,,,
Maharashtra,SATARA,2011,Whole Year ,Sugarcane,70600,6962600,98.62,852.6,1,38,12,25,63,,,,,,,,,,,
Gujarat,SURAT,2011,Whole Year ,Sugarcane,105900,6942000,65.55,890.5,1,42,12,28,54,,,,,,,,,,,
Maharashtra,SATARA,2014,Whole Year ,Sugarcane,70000,6927400,98.96,838,1,38,12,25,63,,,,,,,,,,,
Uttar Pradesh,SAHARANPUR,2008,Kharif     ,Sugarcane,125345,6855870,54.7,799.8,1,42,8,26,61,,,,,,,,,,,
Uttar Pradesh,SITAPUR,2005,Kharif     ,Sugarcane,125376,6743724,53.79,725.7,1,43,38,32,71,,,,,,,,,,,
Uttar Pradesh,SITAPUR,2011,Kharif     ,Sugarcane,118735,6708528,56.5,777.4,1,43,38,32,71,,,,,,,,,,,
West Bengal,MALDAH,2007,Whole Year ,Coconut ,482,6660000,13817.43,2638.9,0,34,13,26,76,,,,,,,,,,,
Maharashtra,KOLHAPUR,2004,Whole Year ,Sugarcane,76300,6529400,85.58,1029.5,2,36,13,24,67,,,,,,,,,,,
Uttar Pradesh,PILIBHIT,2014,Kharif     ,Sugarcane,93620,6500973,69.44,486.9,1,44,32,38,61,,,,,,,,,,,
Uttar Pradesh,SITAPUR,2002,Whole Year ,Sugarcane,128516,6397526,49.78,625.2,1,43,38,32,71,,,,,,,,,,,
Uttar Pradesh,SITAPUR,2007,Kharif     ,Sugarcane,122295,6372059,52.1,572.5,1,43,38,32,71,,,,,,,,,,,
Uttar Pradesh,SITAPUR,2001,Whole Year ,Sugarcane,112345,6347493,56.5,661.7,1,43,38,32,71,,,,,,,,,,,
Maharashtra,AHMEDNAGAR,2009,Kharif     ,Sugarcane,75600,6339000,83.85,941.7,0,40,14,26,59,,,,,,,,,,,
Uttar Pradesh,BAREILLY,2014,Kharif     ,Sugarcane,99211,6120128,61.69,486.9,2,41,27,34,60,,,,,,,,,,,
Uttar Pradesh,SITAPUR,2009,Kharif     ,Sugarcane,112607,6114560,54.3,549.2,1,43,38,32,71,,,,,,,,,,,
Uttar Pradesh,SITAPUR,2004,Kharif     ,Sugarcane,110205,6100067,55.35,642.3,1,43,38,32,71,,,,,,,,,,,
Uttar Pradesh,SITAPUR,2010,Kharif     ,Sugarcane,120267,6065305,50.43,820.7,1,43,38,32,71,,,,,,,,,,,
Uttar Pradesh,BAREILLY,2012,Kharif     ,Sugarcane,96523,6046973,62.65,389.6,2,41,27,34,60,,,,,,,,,,,
Maharashtra,SATARA,2013,Whole Year ,Sugarcane,59800,6015200,100.59,962.4,1,38,12,25,63,,,,,,,,,,,
Uttar Pradesh,KUSHI NAGAR,2013,Kharif     ,Sugarcane,99104,5923248,59.77,1041.4,1,38,8,25,65,,,,,,,,,,,
Uttar Pradesh,BAREILLY,2013,Kharif     ,Sugarcane,94008,5787132,61.56,932.8,2,41,27,34,60,,,,,,,,,,,
Uttar Pradesh,SITAPUR,2003,Whole Year ,Sugarcane,122227,5691378,46.56,1047.5,1,43,38,32,71,,,,,,,,,,,
Uttar Pradesh,BAGHPAT,2014,Kharif     ,Sugarcane,77107,5671682,73.56,486.9,1,40,8,26,63,,,,,,,,,,,
Maharashtra,SOLAPUR,2005,Kharif     ,Sugarcane,68300,5660500,82.88,1221.3,2,40,14,26,59,,,,,,,,,,,
Maharashtra,SATARA,2012,Whole Year ,Sugarcane,59800,5577700,93.27,689.8,1,38,12,25,63,,,,,,,,,,,
Maharashtra,AHMEDNAGAR,2008,Kharif     ,Sugarcane,77500,5564800,71.8,916.9,0,40,14,26,59,,,,,,,,,,,
Maharashtra,AHMEDNAGAR,2008,Whole Year ,Sugarcane,77500,5564800,71.8,916.9,0,40,14,26,59,,,,,,,,,,,
Uttar Pradesh,BAGHPAT,2013,Kharif     ,Sugarcane,71950,5562023,77.3,932.8,1,40,8,26,63,,,,,,,,,,,
Uttar Pradesh,SITAPUR,2008,Kharif     ,Sugarcane,125569,5561702,44.29,799.8,1,43,38,32,71,,,,,,,,,,,
Uttar Pradesh,BAREILLY,2005,Kharif     ,Sugarcane,97484,5514085,56.56,725.7,2,41,27,34,60,,,,,,,,,,,
Maharashtra,SANGLI,2009,Kharif     ,Sugarcane,63200,5419700,85.75,941.7,1,36,13,24,67,,,,,,,,,,,
Uttar Pradesh,BAGHPAT,2012,Kharif     ,Sugarcane,73561,5404085,73.46,389.6,1,40,8,26,63,,,,,,,,,,,
Uttar Pradesh,BAGHPAT,2007,Kharif     ,Sugarcane,75521,5386460,71.32,572.5,1,40,8,26,63,,,,,,,,,,,
Uttar Pradesh,AMROHA,2014,Kharif     ,Sugarcane,75824,5348322,70.54,486.9,1,38,8,23,67,,,,,,,,,,,
Uttar Pradesh,AMROHA,2013,Kharif     ,Sugarcane,75729,5276494,69.68,932.8,1,38,8,23,67,,,,,,,,,,,
Uttar Pradesh,BAGHPAT,2009,Kharif     ,Sugarcane,72690,5213036,71.72,549.2,1,40,8,26,63,,,,,,,,,,,
Uttar Pradesh,AMROHA,2012,Kharif     ,Sugarcane,80944,5200490,64.25,389.6,1,38,8,23,67,,,,,,,,,,,
Uttar Pradesh,SHAMLI,2013,Kharif     ,Sugarcane,65837,5045221,76.63,932.8,2,44,30,37,59,,,,,,,,,,,
Maharashtra,SANGLI,2008,Kharif     ,Sugarcane,55400,5037100,90.92,916.9,1,36,13,24,67,,,,,,,,,,,
Maharashtra,SANGLI,2008,Whole Year ,Sugarcane,55400,5037100,90.92,916.9,1,36,13,24,67,,,,,,,,,,,
Maharashtra,PUNE,2005,Kharif     ,Sugarcane,53800,5036100,93.61,1221.3,2,31,16,23,65,,,,,,,,,,,
Uttar Pradesh,BAGHPAT,2011,Kharif     ,Sugarcane,73363,4968436,67.72,777.4,1,40,8,26,63,,,,,,,,,,,
Uttar Pradesh,BAREILLY,2002,Whole Year ,Sugarcane,90381,4968063,54.97,625.2,2,41,27,34,60,,,,,,,,,,,
Uttar Pradesh,SHAMLI,2014,Kharif     ,Sugarcane,62990,4966384,78.84,486.9,2,44,30,37,59,,,,,,,,,,,
Uttar Pradesh,MORADABAD,2006,Kharif     ,Sugarcane,77814,4935275,63.42,529.3,2,43,30,37,66,,,,,,,,,,,
Uttar Pradesh,BAGHPAT,2004,Kharif     ,Sugarcane,70317,4931191,70.13,642.3,1,40,8,26,63,,,,,,,,,,,
Maharashtra,KOLHAPUR,2003,Whole Year ,Sugarcane,86900,4918400,56.6,772.6,2,36,13,24,67,,,,,,,,,,,
Uttar Pradesh,BAGHPAT,2006,Kharif     ,Sugarcane,67999,4904088,72.12,529.3,1,40,8,26,63,,,,,,,,,,,
Uttar Pradesh,BAGHPAT,2010,Kharif     ,Sugarcane,72926,4829160,66.22,820.7,1,40,8,26,63,,,,,,,,,,,
Maharashtra,SATARA,2009,Kharif     ,Sugarcane,53800,4812200,89.45,941.7,1,38,12,25,63,,,,,,,,,,,
Uttar Pradesh,AMROHA,2005,Kharif     ,Sugarcane,76851,4797039,62.42,725.7,1,38,8,23,67,,,,,,,,,,,
Uttar Pradesh,BAREILLY,2011,Kharif     ,Sugarcane,82466,4753010,57.64,777.4,2,41,27,34,60,,,,,,,,,,,
Uttar Pradesh,BALRAMPUR,2006,Kharif     ,Sugarcane,86605,4738679,54.72,529.3,2,41,25,33,58,,,,,,,,,,,
Uttar Pradesh,BAREILLY,2007,Kharif     ,Sugarcane,84507,4732054,56,572.5,2,41,27,34,60,,,,,,,,,,,
Uttar Pradesh,BAREILLY,2001,Whole Year ,Sugarcane,78257,4725158,60.38,661.7,2,41,27,34,60,,,,,,,,,,,
Maharashtra,PUNE,2002,Whole Year ,Sugarcane,53500,4690000,87.66,740.3,2,31,16,23,65,,,,,,,,,,,
Uttar Pradesh,SHAMLI,2012,Kharif     ,Sugarcane,65987,4689300,71.06,389.6,2,44,30,37,59,,,,,,,,,,,
Uttar Pradesh,GONDA,2013,Kharif     ,Sugarcane,81115,4680984,57.71,932.8,1,40,8,25,65,,,,,,,,,,,
Uttar Pradesh,AMROHA,2006,Kharif     ,Sugarcane,73271,4632779,63.23,529.3,1,38,8,23,67,,,,,,,,,,,
Uttar Pradesh,AMROHA,2010,Kharif     ,Sugarcane,73251,4614813,63,820.7,1,38,8,23,67,,,,,,,,,,,
Uttar Pradesh,AMROHA,2011,Kharif     ,Sugarcane,74955,4567458,60.94,777.4,1,38,8,23,67,,,,,,,,,,,
Uttar Pradesh,AMROHA,2004,Kharif     ,Sugarcane,73271,4545733,62.04,642.3,1,38,8,23,67,,,,,,,,,,,
Maharashtra,SOLAPUR,2001,Whole Year ,Sugarcane,59800,4533500,75.81,785.1,2,40,14,26,59,,,,,,,,,,,
Maharashtra,SANGLI,2001,Whole Year ,Sugarcane,44900,4472400,99.61,785.1,1,36,13,24,67,,,,,,,,,,,
Uttar Pradesh,BAGHPAT,2003,Whole Year ,Sugarcane,70774,4453666,62.93,1047.5,1,40,8,26,63,,,,,,,,,,,
Uttar Pradesh,AMROHA,2003,Whole Year ,Sugarcane,73751,4431550,60.09,1047.5,1,38,8,23,67,,,,,,,,,,,
Uttar Pradesh,PILIBHIT,2013,Kharif     ,Sugarcane,74784,4430802,59.25,932.8,1,44,32,38,61,,,,,,,,,,,
Uttar Pradesh,BAREILLY,2003,Whole Year ,Sugarcane,83380,4403798,52.82,1047.5,2,41,27,34,60,,,,,,,,,,,
Uttar Pradesh,BAGHPAT,2008,Kharif     ,Sugarcane,67501,4395395,65.12,799.8,1,40,8,26,63,,,,,,,,,,,
Maharashtra,AHMEDNAGAR,2005,Kharif     ,Sugarcane,56600,4395300,77.66,1221.3,0,40,14,26,59,,,,,,,,,,,
Uttar Pradesh,GONDA,2012,Kharif     ,Sugarcane,73651,4370745,59.34,389.6,1,40,8,25,65,,,,,,,,,,,
Uttar Pradesh,GONDA,2011,Kharif     ,Sugarcane,71422,4346457,60.86,777.4,1,40,8,25,65,,,,,,,,,,,
Uttar Pradesh,AMROHA,2009,Kharif     ,Sugarcane,71482,4340959,60.73,549.2,1,38,8,23,67,,,,,,,,,,,
Uttar Pradesh,BAREILLY,2010,Kharif     ,Sugarcane,75026,4268979,56.9,820.7,2,41,27,34,60,,,,,,,,,,,
Uttar Pradesh,GHAZIABAD,2002,Whole Year ,Sugarcane,64885,4265799,65.74,625.2,2,43,28,36,70,,,,,,,,,,,
Uttar Pradesh,BAGHPAT,2002,Whole Year ,Sugarcane,69410,4252057,61.26,625.2,1,40,8,26,63,,,,,,,,,,,
Maharashtra,SATARA,2008,Kharif     ,Sugarcane,50400,4230000,83.93,916.9,1,38,12,25,63,,,,,,,,,,,
Maharashtra,SATARA,2008,Whole Year ,Sugarcane,50400,4230000,83.93,916.9,1,38,12,25,63,,,,,,,,,,,
Uttar Pradesh,KUSHI NAGAR,2014,Kharif     ,Sugarcane,70102,4217897,60.17,701.2,1,38,8,25,65,,,,,,,,,,,
Uttar Pradesh,AMROHA,2002,Whole Year ,Sugarcane,69583,4208380,60.48,625.2,1,38,8,23,67,,,,,,,,,,,
Maharashtra,SANGLI,2002,Whole Year ,Sugarcane,47400,4206000,88.73,740.3,1,36,13,24,67,,,,,,,,,,,
Uttar Pradesh,AMROHA,2007,Kharif     ,Sugarcane,76488,4198579,54.89,572.5,1,38,8,23,67,,,,,,,,,,,
Uttar Pradesh,BAREILLY,2008,Kharif     ,Sugarcane,83043,4194004,50.5,799.8,2,41,27,34,60,,,,,,,,,,,
Maharashtra,PUNE,2001,Whole Year ,Sugarcane,48700,4161000,85.44,785.1,2,31,16,23,65,,,,,,,,,,,
Uttar Pradesh,GHAZIABAD,2003,Whole Year ,Sugarcane,65950,4121611,62.5,1047.5,2,43,28,36,70,,,,,,,,,,,
Uttar Pradesh,BAGHPAT,2001,Whole Year ,Sugarcane,63610,4106153,64.55,661.7,1,40,8,26,63,,,,,,,,,,,
Uttar Pradesh,PILIBHIT,2007,Kharif     ,Sugarcane,73023,4096298,56.1,572.5,1,44,32,38,61,,,,,,,,,,,
Uttar Pradesh,GONDA,2014,Kharif     ,Sugarcane,79442,4088721,51.47,486.9,1,40,8,25,65,,,,,,,,,,,
Uttar Pradesh,MORADABAD,2005,Kharif     ,Sugarcane,68437,4085141,59.69,725.7,2,43,30,37,66,,,,,,,,,,,
Uttar Pradesh,GHAZIABAD,2004,Kharif     ,Sugarcane,64548,4078917,63.19,642.3,2,43,28,36,70,,,,,,,,,,,
Uttar Pradesh,MORADABAD,2007,Kharif     ,Sugarcane,72167,4072817,56.44,572.5,2,43,30,37,66,,,,,,,,,,,
Uttar Pradesh,GHAZIABAD,2001,Whole Year ,Sugarcane,61232,4072418,66.51,661.7,2,43,28,36,70,,,,,,,,,,,
Maharashtra,BEED,2008,Kharif     ,Sugarcane,44400,4065400,91.56,916.9,2,40,14,26,59,,,,,,,,,,,
Maharashtra,BEED,2008,Whole Year ,Sugarcane,44400,4065400,91.56,916.9,2,40,14,26,59,,,,,,,,,,,
Uttar Pradesh,AMROHA,2001,Whole Year ,Sugarcane,68202,4062930,59.57,661.7,1,38,8,23,67,,,,,,,,,,,
Maharashtra,SOLAPUR,2002,Whole Year ,Sugarcane,56400,4052000,71.84,740.3,2,40,14,26,59,,,,,,,,,,,
Uttar Pradesh,KUSHI NAGAR,2006,Kharif     ,Sugarcane,74959,4041190,53.91,632.1,1,38,8,25,65,,,,,,,,,,,
Uttar Pradesh,GHAZIABAD,2007,Kharif     ,Sugarcane,66459,4022099,60.52,572.5,2,43,28,36,70,,,,,,,,,,,
Uttar Pradesh,BAREILLY,2004,Kharif     ,Sugarcane,64088,4010627,62.58,642.3,2,41,27,34,60,,,,,,,,,,,
Uttar Pradesh,KUSHI NAGAR,2012,Kharif     ,Sugarcane,70220,3989900,56.82,602.7,1,38,8,25,65,,,,,,,,,,,
Uttar Pradesh,BAREILLY,2009,Kharif     ,Sugarcane,66657,3980489,59.72,549.2,2,41,27,34,60,,,,,,,,,,,
Uttar Pradesh,BAREILLY,2006,Kharif     ,Sugarcane,71317,3929567,55.1,529.3,2,41,27,34,60,,,,,,,,,,,
Uttar Pradesh,MORADABAD,2011,Kharif     ,Sugarcane,69975,3925598,56.1,777.4,2,43,30,37,66,,,,,,,,,,,
Uttar Pradesh,KUSHI NAGAR,2001,Whole Year ,Sugarcane,74161,3911251,52.74,973.8,1,38,8,25,65,,,,,,,,,,,
Uttar Pradesh,KUSHI NAGAR,2002,Whole Year ,Sugarcane,74974,3908545,52.13,689.1,1,38,8,25,65,,,,,,,,,,,
Uttar Pradesh,MORADABAD,2002,Whole Year ,Sugarcane,74269,3888428,52.36,625.2,2,43,30,37,66,,,,,,,,,,,
Uttar Pradesh,GHAZIABAD,2006,Kharif     ,Sugarcane,65587,3885112,59.24,529.3,2,43,28,36,70,,,,,,,,,,,
Uttar Pradesh,GONDA,2010,Kharif     ,Sugarcane,70037,3878929,55.38,820.7,1,40,8,25,65,,,,,,,,,,,
Maharashtra,BEED,2010,Kharif     ,Sugarcane,58800,3874900,65.9,1027.5,2,40,14,26,59,,,,,,,,,,,
Uttar Pradesh,AMROHA,2008,Kharif     ,Sugarcane,69445,3861420,55.6,799.8,1,38,8,23,67,,,,,,,,,,,
Uttar Pradesh,PILIBHIT,2006,Kharif     ,Sugarcane,61177,3857087,63.05,529.3,1,44,32,38,61,,,,,,,,,,,
Uttar Pradesh,KUSHI NAGAR,2010,Kharif     ,Sugarcane,73143,3763646,51.46,692.2,1,38,8,25,65,,,,,,,,,,,
Uttar Pradesh,MORADABAD,2004,Kharif     ,Sugarcane,59559,3760079,63.13,642.3,2,43,30,37,66,,,,,,,,,,,
Uttar Pradesh,KUSHI NAGAR,2011,Kharif     ,Sugarcane,72231,3758612,52.04,781.2,1,38,8,25,65,,,,,,,,,,,
Uttar Pradesh,GHAZIABAD,2011,Kharif     ,Sugarcane,61150,3747761,61.29,777.4,2,43,28,36,70,,,,,,,,,,,
Uttar Pradesh,KUSHI NAGAR,2007,Kharif     ,Sugarcane,72109,3733804,51.78,741.2,1,38,8,25,65,,,,,,,,,,,
Uttar Pradesh,KUSHI NAGAR,2005,Kharif     ,Sugarcane,70771,3729349,52.7,770.3,1,38,8,25,65,,,,,,,,,,,
Maharashtra,SATARA,2001,Whole Year ,Sugarcane,39400,3728000,94.62,785.1,1,38,12,25,63,,,,,,,,,,,
Uttar Pradesh,BAGHPAT,2005,Kharif     ,Sugarcane,56758,3723325,65.6,725.7,1,40,8,26,63,,,,,,,,,,,
Uttar Pradesh,MORADABAD,2010,Kharif     ,Sugarcane,71306,3689087,51.74,820.7,2,43,30,37,66,,,,,,,,,,,
Maharashtra,OSMANABAD,2011,Whole Year ,Sugarcane,54500,3663100,67.21,852.6,0,40,14,26,59,,,,,,,,,,,
Uttar Pradesh,KUSHI NAGAR,2004,Kharif     ,Sugarcane,68437,3642491,53.22,746.9,1,38,8,25,65,,,,,,,,,,,
Uttar Pradesh,PILIBHIT,2012,Kharif     ,Sugarcane,55380,3636251,65.66,389.6,1,44,32,38,61,,,,,,,,,,,
Maharashtra,AHMEDNAGAR,2001,Whole Year ,Sugarcane,52000,3596300,69.16,785.1,0,40,14,26,59,,,,,,,,,,,
Uttar Pradesh,MORADABAD,2003,Whole Year ,Sugarcane,68174,3594406,52.72,1047.5,2,43,30,37,66,,,,,,,,,,,
Uttar Pradesh,BULANDSHAHR,2006,Kharif     ,Sugarcane,60208,3581894,59.49,529.3,2,43,28,36,65,,,,,,,,,,,
Uttar Pradesh,PILIBHIT,2011,Kharif     ,Sugarcane,55543,3575414,64.37,777.4,1,44,32,38,61,,,,,,,,,,,
Uttar Pradesh,KUSHI NAGAR,2003,Whole Year ,Sugarcane,71161,3570574,50.18,1096.4,1,38,8,25,65,,,,,,,,,,,
Uttar Pradesh,MORADABAD,2001,Whole Year ,Sugarcane,66165,3564706,53.88,661.7,2,43,30,37,66,,,,,,,,,,,
Maharashtra,SATARA,2002,Whole Year ,Sugarcane,38000,3536000,93.05,740.3,1,38,12,25,63,,,,,,,,,,,
Uttar Pradesh,KUSHI NAGAR,2009,Kharif     ,Sugarcane,67018,3534261,52.74,610.2,1,38,8,25,65,,,,,,,,,,,
West Bengal,HOOGHLY,2010,Rabi       ,Potato,100409,3530571,35.16,2612.3,0,36,13,27,75,,,,,,,,,,,
Uttar Pradesh,MORADABAD,2009,Kharif     ,Sugarcane,62780,3526478,56.17,549.2,2,43,30,37,66,,,,,,,,,,,
West Bengal,HOOGHLY,2014,Rabi       ,Potato,100745,3506137,34.8,2322.6,0,36,13,27,75,,,,,,,,,,,
Maharashtra,BEED,2011,Whole Year ,Sugarcane,53600,3487500,65.07,852.6,2,40,14,26,59,,,,,,,,,,,
Uttar Pradesh,BULANDSHAHR,2007,Kharif     ,Sugarcane,57107,3462740,60.64,572.5,2,43,28,36,65,,,,,,,,,,,
Maharashtra,SATARA,2005,Kharif     ,Sugarcane,38900,3453800,88.79,1221.3,1,38,12,25,63,,,,,,,,,,,
